City,Latitude,Longitude
Ahmedabad,23.0258,72.5873
Chennai,13.0674,80.2376
Delhi,28.6448,77.2167
Lucknow,26.8500,80.9499
Mumbai,19.0760,72.8777
Bengaluru,12.971599,77.594563
Hyderabad,17.3841,78.4564
Patna,25.6154,85.1010
Gurugram,28.457523,77.026344
Visakhapatnam,17.7029,83.2185
Amritsar,31.6340,74.8756
Jorapokhar,22.4225,85.7607
Jaipur,26.9196,75.7878
Thiruvananthapuram,8.5241,76.9366 
Amaravati,16.5667,80.3667
Brajrajnagar,21.8200,83.9200
Talcher,20.9515,85.2157
Kolkata,22.572645,88.363892
Guwahati,26.115103,91.703239
Coimbatore,11.004556,76.961632
Shillong,25.5768,91.8833
Chandigarh,30.7333,76.7794
Bhopal,23.2599,77.4126
Kochi,9.9312,76.2673
Ernakulam,9.9800,76.2800
Aizawl,23.7289,92.7179
